college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
"(A.B.M.S.) Akhil Bharatiya Maratha Shikshan Parishad's College of Engineering & Research  Address: S. No. 103, Shahu College Campus, Parvati, Taluka: Pune (corporation Area) District: Pune - 411009",Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
A G PATIL INSTITUTE OF TECHNOLOGY  18 2A2  PRATANAGER SOREGON ROAD,Solapur,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
A J Institute of Engineering and Technology Mangaluru,Mangaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
A P Shah Institute Of Technology,Thane,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
A R Engineering College,Villupuram,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
A. D. Patel Institute of Technology,Anand,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
A. M. Reddy Memorial College of Engineering and Technology,Narasaraopet,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
A.K.T. Memorial College of Engineering & Technology,"Neelamangalam,Kallakurichi",Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
A.V.C. College of Engineering,Mayiladuthurai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
AAA COLLEGE OF ENGINEERING AND TECHNOLOGY,Sivakasi,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Aalim Muhammed Salegh College of Engineering,Thiruvallur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ABACUS Institute of Engineering and Management,Mogra,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
ABES Engineering College,Ghaziabad,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
"ABES INSTITUTE OF TECHNOLOGY, GHAZIABAD",Ghaziabad,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Academy of Maritime Education and Training,Kancheepuram,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ACADEMY OF TECHNOLOGY,Hooghly,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
ACE Engineering college,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Acharya Institute of Technology,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Acropolis Institute Of Technology And  Research,Indore,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
ACS COLLEGE OF ENGINEERING,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
"ADARSHA INSTITUTE OF TECHNOLOGY, LINGADJEERA GOLLAHALLI, DEVANAHALLI",Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Adhi College of Engineering and Technology,Kancheepuram,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Adhiparasakthi College of Engineering,Arcot,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Adhiparasakthi Engineering College,Chengalpat,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Adhiyamaan College of Engineering(Autonomous),Hosur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Adi Shankara Institute of Engineering and Technology,Kalady,Kerala,,,Engineering,"Technology,Science",60,1.0,5.0
Adichunchanagiri Institute of Technology,Chikmagalur,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
